cs,en,source,source_id,scheme,sub,theme,placed_by,same_as_count
soudobé dějiny,contemporary history,teater,1266,1050,periodizace dějin,Chronology,teater:1050,0
starověk,ancient history,teater,1258,1050,periodizace dějin,Chronology,teater:1050,0
starší doba halštatská (HaC-D1),early Hallstatt period (HaC-D1),teater,1201,1050,periodizace dějin,Chronology,teater:1050,0
starší doba hradištní,early hillfort period,teater,1240,1050,periodizace dějin,Chronology,teater:1050,0
stěhování národů,Migration period,teater,1231,1050,periodizace dějin,Chronology,teater:1050,0
střední / mladší neolit,middle / late neolithic,teater,1111,1050,periodizace dějin,Chronology,teater:1050,0
střední doba hradištní,middle hillfort period,teater,1241,1050,periodizace dějin,Chronology,teater:1050,0
střední doba laténská (LtB-C1),middle La Tène period (LtB-C1),teater,1219,1050,periodizace dějin,Chronology,teater:1050,0
středodunajská popelnicová pole,Middle Danube Urnfield culture,teater,1184,1050,periodizace dějin,Chronology,teater:1050,0
středověk (historiografie),Middle Ages (historiography),teater,1260,1050,periodizace dějin,Chronology,teater:1050,0
středověk - novověk,Middle ages - modern period,teater,1236,1050,periodizace dějin,Chronology,teater:1050,0
subatlantik (paleoklimatologie),Subatlantic (paleoclimatology),teater,1069,1050,geologická doba,Chronology,teater:1050,0
tagarská kultura,Tagar culture,teater,1197,1050,periodizace dějin,Chronology,teater:1050,0
tišnovien,tišnovien,teater,1094,1050,periodizace dějin,Chronology,teater:1050,0
trypilská kultura,Trypilian culture,teater,1108,1050,periodizace dějin,Chronology,teater:1050,0
trzciniecko-komarivský komplex,Trzciniec-Komariv culture,teater,1174,1050,periodizace dějin,Chronology,teater:1050,0
třetihory,tertiary,teater,1056,1050,geologická doba,Chronology,teater:1050,0
villanovská kultura,Villanovan culture,teater,1213,1050,periodizace dějin,Chronology,teater:1050,0
vinařická skupina,Vinařice group,teater,1234,1050,periodizace dějin,Chronology,teater:1050,0
vinčanská kultura,Vinca culture,teater,1109,1050,periodizace dějin,Chronology,teater:1050,0
vrcholný - pozdní středověk,High - late middle ages,teater,1247,1050,periodizace dějin,Chronology,teater:1050,0
vrcholný středověk (historiografie),High - late middle ages (historiography),teater,1262,1050,periodizace dějin,Chronology,teater:1050,0
vučedolská kultura,Vučedol culture,teater,1141,1050,periodizace dějin,Chronology,teater:1050,0
věterovská kultura,Věteřov culture,teater,1165,1050,periodizace dějin,Chronology,teater:1050,0
zarubiněcká kultura,Zarubintsy culture,teater,1246,1050,periodizace dějin,Chronology,teater:1050,0
zemědelský pravěk,farming prehistory,teater,1074,1050,periodizace dějin,Chronology,teater:1050,0
čakanská kultura,Čakan culture,teater,1180,1050,periodizace dějin,Chronology,teater:1050,0
časná doba laténska (LtA),early La Tène period,teater,1216,1050,periodizace dějin,Chronology,teater:1050,0
čerňjachovská kultura,Chernyakhov culture,teater,1244,1050,periodizace dějin,Chronology,teater:1050,0
čtvrtohory,Quaternary,teater,1059,1050,geologická doba,Chronology,teater:1050,0
želiezovský typ,Želizovce group,teater,1110,1050,periodizace dějin,Chronology,teater:1050,0
Ekklésiastérion,Ekklesiasterion,teater,1512,1481,budova,Feature,teater:1481,0
Ianus quadrifrons,Arch of Janus,teater,1521,1481,budova,Feature,teater:1481,0
Múseion,Museion,teater,1534,1481,budova,Feature,teater:1481,0
adyton,adyton,teater,1711,1481,sakrální architektura,Feature,teater:1481,0
amfiteátr,amphitheatre,teater,1483,1481,budova,Feature,teater:1481,0
andrón,andron,teater,1502,1481,budova,Feature,teater:1481,0
apsida,apse,teater,1712,1481,sakrální architektura,Feature,teater:1481,0
archivní budova,archive,teater,1489,1481,budova,Feature,teater:1481,0
arcibiskupská rezidence,archbishops palace,teater,1541,1481,budova,Feature,teater:1481,0
armamentarium,armamentaria,teater,1490,1481,budova,Feature,teater:1481,0
atrium,atrium,teater,1503,1481,budova,Feature,teater:1481,0
aula,aule,teater,1504,1481,budova,Feature,teater:1481,0
barokní oltář,baroque altar,teater,1724,1481,sakrální architektura,Feature,teater:1481,0
barokní portál,baroque doorway,teater,1597,1481,konstrukční prvek,Feature,teater:1481,0
bastion,bastion,teater,1620,1481,opevnění,Feature,teater:1481,1
bazilika (antika),basilica (antiquity),teater,1491,1481,budova,Feature,teater:1481,0
bergfrit,keep,teater,1622,1481,opevnění,Feature,teater:1481,0
biskupská rezidence,bishops palace,teater,1542,1481,budova,Feature,teater:1481,0
bronteion,bronteion,teater,1484,1481,budova,Feature,teater:1481,0
burgus,burgus,teater,1625,1481,opevnění,Feature,teater:1481,0
bytové vybavení,furnishing,teater,1496,1481,budova,Feature,teater:1481,0
búleutérion,bouleuterion,teater,1553,1481,budova,Feature,teater:1481,0
carcer,carcer,teater,1567,1481,budova,Feature,teater:1481,0
cella,cella,teater,1713,1481,sakrální architektura,Feature,teater:1481,0
chata,hut,teater,1519,1481,budova,Feature,teater:1481,0
chlév,animal shed,teater,1520,1481,budova,Feature,teater:1481,1
chrámová podezdívka,krepis,teater,1584,1481,konstrukční prvek,Feature,teater:1481,0
chrámové dveře,temple door,teater,1715,1481,sakrální architektura,Feature,teater:1481,0
chrámové okno,temple window,teater,1714,1481,sakrální architektura,Feature,teater:1481,0
cihlářská pec,brick kiln,teater,1689,1481,pyrotechnické zařízení,Feature,teater:1481,0
cippus (mezník),cippus (boundary stone),teater,1676,1481,pozemní komunikace (objekty),Feature,teater:1481,0
cippus (náhrobek),cippus (gravestone),teater,1650,1481,pohřební objekt,Feature,teater:1481,0
cirkus,circus,teater,1492,1481,budova,Feature,teater:1481,0
curia (radnice),curia,teater,1554,1481,budova,Feature,teater:1481,0
císařský palác,imperial palace,teater,1543,1481,budova,Feature,teater:1481,0
dehtářská pec,tar kiln (objekt),teater,1690,1481,pyrotechnické zařízení,Feature,teater:1481,0
destrukční horizont,destruction horizon,teater,1749,1481,vrstva (objekt),Feature,teater:1481,0
diazóma,diazoma,teater,1485,1481,budova,Feature,teater:1481,0
divadlo,theatre,teater,1493,1481,budova,Feature,teater:1481,0
dlažba,pavement,teater,1580,1481,konstrukční prvek,Feature,teater:1481,0
dlouhý dům,longhouse,teater,1497,1481,budova,Feature,teater:1481,0
dolmen,dolmen,teater,1651,1481,pohřební objekt,Feature,teater:1481,0
domovní kanalizace,house drains,teater,1575,1481,inženýrská síť,Feature,teater:1481,0
dromos (hrobka),dromos (tomb),teater,1652,1481,pohřební objekt,Feature,teater:1481,0
dromos (ulice),dromos (street),teater,1573,1481,inženýrská síť,Feature,teater:1481,0
dílna,workshop,teater,1761,1481,výrobní objekt,Feature,teater:1481,0
dýmačka,fuming blast-furnace,teater,1691,1481,pyrotechnické zařízení,Feature,teater:1481,0
dřevohlinitá hradba,wood earth rampart,teater,1628,1481,opevnění,Feature,teater:1481,0
dřevěná hať,timber trackway,teater,1674,1481,pozemní komunikace (objekty),Feature,teater:1481,0
dům,house,teater,1495,1481,budova,Feature,teater:1481,0
ekkykléma,ekkyklema,teater,1486,1481,budova,Feature,teater:1481,0
elogium,elogium,teater,1653,1481,pohřební objekt,Feature,teater:1481,0
empora,matroneum,teater,1581,1481,konstrukční prvek,Feature,teater:1481,0
entasis,entasis,teater,1603,1481,konstrukční prvek,Feature,teater:1481,0
ergastulum,ergastulum,teater,1763,1481,výrobní objekt,Feature,teater:1481,0
ergastérion,ergasterion,teater,1762,1481,výrobní objekt,Feature,teater:1481,0
exedra,exedra,teater,1505,1481,budova,Feature,teater:1481,0
fara,rectory,teater,1513,1481,budova,Feature,teater:1481,0
fontána,fountain,teater,1609,1481,objekt na veřejném prostranství,Feature,teater:1481,0
geologická vrstva,geological layer,teater,1750,1481,vrstva (objekt),Feature,teater:1481,0
gotický oltář,gothic altar,teater,1725,1481,sakrální architektura,Feature,teater:1481,0
gotický portál,gothic doorway,teater,1598,1481,konstrukční prvek,Feature,teater:1481,0
grotta,grotto,teater,1683,1481,přírodní útvar,Feature,teater:1481,0
gymnasion,gymnasium,teater,1514,1481,budova,Feature,teater:1481,0
hipodrom,hippodrome,teater,1516,1481,budova,Feature,teater:1481,0
horizont osídlení,settlement layer,teater,1751,1481,vrstva (objekt),Feature,teater:1481,0
hospodářská budova,farm building,teater,1517,1481,budova,Feature,teater:1481,0
hostinec,inn,teater,1518,1481,budova,Feature,teater:1481,0
hrnčířská pec,pottery kiln,teater,1692,1481,pyrotechnické zařízení,Feature,teater:1481,0
hutnická pec,iron-smelting furnace,teater,1693,1481,pyrotechnické zařízení,Feature,teater:1481,0
impluvium,impluvium,teater,1506,1481,budova,Feature,teater:1481,0
insula,insula,teater,1498,1481,budova,Feature,teater:1481,0
inženýrská síť,infrastructure network,teater,1571,1481,inženýrská síť,Feature,teater:1481,0
jatka,slaughterhouse,teater,1522,1481,budova,Feature,teater:1481,0
jeskyně,cave,teater,1682,1481,přírodní útvar,Feature,teater:1481,1
kanelura,fluting,teater,1604,1481,konstrukční prvek,Feature,teater:1481,0
katakomby,catacombs,teater,1775,1481,zahloubený objekt,Feature,teater:1481,0
kazetový strop,coffered ceiling,teater,1606,1481,konstrukční prvek,Feature,teater:1481,0
knihovna,library,teater,1524,1481,budova,Feature,teater:1481,0
knížecí hrob,princely grave,teater,1656,1481,pohřební objekt,Feature,teater:1481,0
kolumbárium,columbarium,teater,1661,1481,pohřební objekt,Feature,teater:1481,0
komorový hrob,chamber tomb,teater,1657,1481,pohřební objekt,Feature,teater:1481,0
konkávní plocha,concave surface,teater,1703,1481,reliéfní útvar,Feature,teater:1481,0
konvexní plocha,convex surface,teater,1704,1481,reliéfní útvar,Feature,teater:1481,0
konírna,horse barn,teater,1526,1481,budova,Feature,teater:1481,0
kostelní věž,church tower,teater,1716,1481,sakrální architektura,Feature,teater:1481,0
kostrový hrob,skeleton grave,teater,1658,1481,pohřební objekt,Feature,teater:1481,0
kovolitecká pec,foundry,teater,1694,1481,pyrotechnické zařízení,Feature,teater:1481,0
krb,fireplace,teater,1507,1481,budova,Feature,teater:1481,0
krov,truss,teater,1586,1481,konstrukční prvek,Feature,teater:1481,0
kružba,tracery,teater,1717,1481,sakrální architektura,Feature,teater:1481,0
krypta,crypt,teater,1663,1481,pohřební objekt,Feature,teater:1481,0
kryptoportikus,cryptoporticus,teater,1587,1481,konstrukční prvek,Feature,teater:1481,0
královská falc,palatinate,teater,1544,1481,budova,Feature,teater:1481,0
královský palác,royal palace,teater,1545,1481,budova,Feature,teater:1481,0
krám,shop,teater,1527,1481,budova,Feature,teater:1481,0
kulturní vrstva,cultural layer,teater,1752,1481,vrstva (objekt),Feature,teater:1481,1
kurhan,kurgan,teater,1664,1481,pohřební objekt,Feature,teater:1481,0
kůlová jamka,stake hole,teater,1776,1481,zahloubený objekt,Feature,teater:1481,0
lehký obvodový plášť,light curtain wall,teater,1631,1481,opevnění,Feature,teater:1481,0
lesché,lesche,teater,1499,1481,budova,Feature,teater:1481,0
lineární konkávní útvar,linear concave feature,teater,1705,1481,reliéfní útvar,Feature,teater:1481,0
lineární konvexní útvar,linear convex feature,teater,1706,1481,reliéfní útvar,Feature,teater:1481,0
lyceum,lyceum,teater,1529,1481,budova,Feature,teater:1481,0
lázeňský dům,spa house,teater,1528,1481,budova,Feature,teater:1481,0
maenianum,maenianum,teater,1508,1481,budova,Feature,teater:1481,0
maják,lighthouse,teater,1530,1481,budova,Feature,teater:1481,0
mauzoleum,mausoleum,teater,1665,1481,pohřební objekt,Feature,teater:1481,0
meander,meander,teater,1684,1481,přírodní útvar,Feature,teater:1481,0
megaron,megaron,teater,1500,1481,budova,Feature,teater:1481,0
meta,meta,teater,1589,1481,konstrukční prvek,Feature,teater:1481,0
mezník,boundary stone,teater,1675,1481,pozemní komunikace (objekty),Feature,teater:1481,1
minaret,minaret,teater,1720,1481,sakrální architektura,Feature,teater:1481,0
mincovna,mint,teater,1766,1481,výrobní objekt,Feature,teater:1481,0
morový sloup,plague column,teater,1721,1481,sakrální architektura,Feature,teater:1481,0
mýtní domek,toll house,teater,1535,1481,budova,Feature,teater:1481,0
městská brána,town gateway,teater,1624,1481,opevnění,Feature,teater:1481,0
městská hradba,city walls,teater,1627,1481,opevnění,Feature,teater:1481,0
narthex,narthex,teater,1722,1481,sakrální architektura,Feature,teater:1481,0
nemocnice,hospital,teater,1536,1481,budova,Feature,teater:1481,0
nevěstinec,brothel,teater,1537,1481,budova,Feature,teater:1481,0
nymfeum,nymphaeum,teater,1618,1481,okrasný objekt,Feature,teater:1481,0
nádrž,reservoir,teater,1778,1481,zahloubený objekt,Feature,teater:1481,1
náhrobek,gravestone,teater,1667,1481,pohřební objekt,Feature,teater:1481,1
násyp,bank,teater,1753,1481,vrstva (objekt),Feature,teater:1481,0
obilnice,granary,teater,1779,1481,zahloubený objekt,Feature,teater:1481,0
objekt na veřejném prostranství,feature on public area,teater,1608,1481,objekt na veřejném prostranství,Feature,teater:1481,0
objekt zemědělské výroby,agricultural feature,teater,1613,1481,objekt zemědělské výroby,Feature,teater:1481,0
obvodový plášť,curtain wall,teater,1630,1481,opevnění,Feature,teater:1481,0
obytné budovy,residential building,teater,1538,1481,budova,Feature,teater:1481,0
odpadní jáma,rubbish pit,teater,1780,1481,zahloubený objekt,Feature,teater:1481,0
odpadní vrstva,refuse layer,teater,1755,1481,vrstva (objekt),Feature,teater:1481,1
odval,spoil tip,teater,1741,1481,těžební objekt,Feature,teater:1481,0
okrasný objekt,decorative object,teater,1617,1481,okrasný objekt,Feature,teater:1481,0
opevnění,fortification,teater,1619,1481,opevnění,Feature,teater:1481,0
opisthodomos,opisthodomos,teater,1728,1481,sakrální architektura,Feature,teater:1481,0
opěrný pilíř,abutment,teater,1591,1481,konstrukční prvek,Feature,teater:1481,0
orba,plowing,teater,1615,1481,objekt zemědělské výroby,Feature,teater:1481,0
orchéstra,orchestra,teater,1487,1481,budova,Feature,teater:1481,0
palaistra,palaestra,teater,1547,1481,budova,Feature,teater:1481,0
papežská rezidence,residence of pope,teater,1546,1481,budova,Feature,teater:1481,0
parkán,zwinger,teater,1634,1481,opevnění,Feature,teater:1481,0
parodos,parodos,teater,1592,1481,konstrukční prvek,Feature,teater:1481,0
pec na chléb,bake oven,teater,1697,1481,pyrotechnické zařízení,Feature,teater:1481,0
pekárna,bakery,teater,1548,1481,budova,Feature,teater:1481,0
peristyl,peristyle,teater,1593,1481,konstrukční prvek,Feature,teater:1481,0
pilotové základy,piled foundations,teater,1594,1481,konstrukční prvek,Feature,teater:1481,0
pinakothéka,pinacotheca,teater,1549,1481,budova,Feature,teater:1481,0
piscina,piscina,teater,1616,1481,objekt zemědělské výroby,Feature,teater:1481,0
plot,fence,teater,1635,1481,opevnění,Feature,teater:1481,1
podlaha,floor,teater,1595,1481,konstrukční prvek,Feature,teater:1481,0
podlaha (vrstva),floor layer,teater,1756,1481,vrstva (objekt),Feature,teater:1481,0
podzemní štola,drift,teater,1743,1481,těžební objekt,Feature,teater:1481,0
poustevna,hermitage,teater,1729,1481,sakrální architektura,Feature,teater:1481,0
pozemní komunikace (objekty),land communication (objects),teater,1672,1481,pozemní komunikace (objekty),Feature,teater:1481,0
praetorium,praetorium,teater,1550,1481,budova,Feature,teater:1481,0
pranýř,pillory,teater,1551,1481,budova,Feature,teater:1481,0
presbytář,presbytery,teater,1730,1481,sakrální architektura,Feature,teater:1481,0
pronáos,pronaos,teater,1731,1481,sakrální architektura,Feature,teater:1481,0
propylaje,propylaea,teater,1732,1481,sakrální architektura,Feature,teater:1481,0
proskénion,proscenium,teater,1488,1481,budova,Feature,teater:1481,0
prytaneion,prytaneion,teater,1555,1481,budova,Feature,teater:1481,0
puteál,puteal,teater,1733,1481,sakrální architektura,Feature,teater:1481,0
pylón,pylon,teater,1734,1481,sakrální architektura,Feature,teater:1481,0
pyramida,pyramid,teater,1670,1481,pohřební objekt,Feature,teater:1481,0
pyrotechnické zařízení,pyrotechnic device,teater,1688,1481,pyrotechnické zařízení,Feature,teater:1481,0
předhradí,bailey,teater,1636,1481,opevnění,Feature,teater:1481,0
radnice,town hall,teater,1552,1481,budova,Feature,teater:1481,0
regia,regia,teater,1556,1481,budova,Feature,teater:1481,0
reliéfní útvar,relief feature,teater,1702,1481,reliéfní útvar,Feature,teater:1481,0
renesanční oltář,renaissance altar,teater,1726,1481,sakrální architektura,Feature,teater:1481,0
renesanční portál,renaissance doorway,teater,1599,1481,konstrukční prvek,Feature,teater:1481,0
retábl,retable,teater,1727,1481,sakrální architektura,Feature,teater:1481,0
románský portál,Romanesque doorway,teater,1600,1481,konstrukční prvek,Feature,teater:1481,0
rostra,rostra,teater,1610,1481,objekt na veřejném prostranství,Feature,teater:1481,0
sakrální architektura,sacred architecture,teater,1710,1481,sakrální architektura,Feature,teater:1481,0
sejp,spoil heap,teater,1744,1481,těžební objekt,Feature,teater:1481,1
seník,hayloft,teater,1557,1481,budova,Feature,teater:1481,0
sklářská pec,glass furnace,teater,1698,1481,pyrotechnické zařízení,Feature,teater:1481,0
skriptorium,scriptorium,teater,1769,1481,výrobní objekt,Feature,teater:1481,0
skéné,skene,teater,1494,1481,budova,Feature,teater:1481,0
skříňkový hrob,cist grave,teater,1659,1481,pohřební objekt,Feature,teater:1481,0
sloup,column,teater,1602,1481,konstrukční prvek,Feature,teater:1481,1
sloupořadí,colonnade,teater,1611,1481,objekt na veřejném prostranství,Feature,teater:1481,0
smírčí kamen,reconciliation stone,teater,1735,1481,sakrální architektura,Feature,teater:1481,0
součást domu,component of the house,teater,1501,1481,budova,Feature,teater:1481,0
splach,solifluction,teater,1757,1481,vrstva (objekt),Feature,teater:1481,1
stadion,stadion,teater,1558,1481,budova,Feature,teater:1481,0
stavební jáma,construction pit,teater,1782,1481,zahloubený objekt,Feature,teater:1481,0
stoá,stoa,teater,1612,1481,objekt na veřejném prostranství,Feature,teater:1481,0
strop,ceiling,teater,1605,1481,konstrukční prvek,Feature,teater:1481,0
stáj,stable,teater,1559,1481,budova,Feature,teater:1481,1
stéla (objekt),stele (feature),teater,1671,1481,pohřební objekt,Feature,teater:1481,0
sýpka,granary (sýpka/Getreidespeiche),teater,1561,1481,budova,Feature,teater:1481,1
tablinum,tablinum,teater,1509,1481,budova,Feature,teater:1481,0
telegrafie,telegraphy,teater,1678,1481,pozemní komunikace (objekty),Feature,teater:1481,0
terminus,terminus,teater,1677,1481,pozemní komunikace (objekty),Feature,teater:1481,0
theokoleion,theocoleon,teater,1564,1481,budova,Feature,teater:1481,0
thésauros,thesauros,teater,1737,1481,sakrální architektura,Feature,teater:1481,0
triclinium,triclinium,teater,1510,1481,budova,Feature,teater:1481,0
tropaeum,tropaion,teater,1568,1481,budova,Feature,teater:1481,0
těžební místo,mining site,teater,1747,1481,těžební objekt,Feature,teater:1481,0
ulice,street,teater,1572,1481,inženýrská síť,Feature,teater:1481,0
veřejná knihovna,public library,teater,1525,1481,budova,Feature,teater:1481,0
vitráž,stained glass,teater,1738,1481,sakrální architektura,Feature,teater:1481,0
vodní mlýn,watermill,teater,1533,1481,budova,Feature,teater:1481,0
vodní pramen,spring,teater,1685,1481,přírodní útvar,Feature,teater:1481,0
vrstva (objekt),layer,teater,1748,1481,vrstva (objekt),Feature,teater:1481,0
vytápění,heating,teater,1648,1481,otopné zařízení,Feature,teater:1481,0
vápenická pec,lime kiln,teater,1699,1481,pyrotechnické zařízení,Feature,teater:1481,0
vítězný oblouk,triumphal arch,teater,1569,1481,budova,Feature,teater:1481,0
výheň,furnace,teater,1700,1481,pyrotechnické zařízení,Feature,teater:1481,0
výplň zahloubeného objektu,filling,teater,1758,1481,vrstva (objekt),Feature,teater:1481,0
větrný mlýn,windmill,teater,1532,1481,budova,Feature,teater:1481,0
věznice,prison,teater,1565,1481,budova,Feature,teater:1481,0
zemnice,pithouse,teater,1786,1481,zahloubený objekt,Feature,teater:1481,0
zeď,wall,teater,1642,1481,opevnění,Feature,teater:1481,0
záchod,toilet,teater,1511,1481,budova,Feature,teater:1481,0
základová konstrukce,foundation,teater,1607,1481,konstrukční prvek,Feature,teater:1481,0
zásobní jáma,storage pit,teater,1785,1481,zahloubený objekt,Feature,teater:1481,0
ódeion,odeon,teater,1539,1481,budova,Feature,teater:1481,0
špýchar,granary (špýchar/Speicher),teater,1563,1481,budova,Feature,teater:1481,1
žalář,jailhouse,teater,1566,1481,budova,Feature,teater:1481,0
železářská pec,iron furnace,teater,1701,1481,pyrotechnické zařízení,Feature,teater:1481,0
žárový hrob,burnt grave,teater,1660,1481,pohřební objekt,Feature,teater:1481,0
archeologická památka,archaeological monument,teater,259,140,památková péče,Location & Admin,teater:253,0
archeologická sbírka,archaeological collection,teater,223,140,muzeum,Location & Admin,teater:220,0
archeologické dědicství,archaeological heritage,teater,256,140,památková péče,Location & Admin,teater:253,0
archeologické muzeum,archaeological museum,teater,243,140,muzeum,Location & Admin,teater:220,0
archeoskanzen,archaeological open-air museum,teater,254,140,památková péče,Location & Admin,teater:253,0
botanická sbírka,plant collection,teater,224,140,muzeum,Location & Admin,teater:220,0
doplňování muzejních sbírek,museum collections acquisition,teater,234,140,muzeum,Location & Admin,teater:220,0
druhy muzeí,types of museums,teater,242,140,muzeum,Location & Admin,teater:220,0
etnografická sbírka,ethnological collection,teater,225,140,muzeum,Location & Admin,teater:220,0
etnografické muzeum,ethnological museum,teater,244,140,muzeum,Location & Admin,teater:220,0
evidence sbírkových předmětů,regisry of collection objects,teater,235,140,muzeum,Location & Admin,teater:220,0
geologická sbírka,geological collection,teater,226,140,muzeum,Location & Admin,teater:220,0
historické muzeum,historical museum,teater,245,140,muzeum,Location & Admin,teater:220,0
hornické muzeum,mining museum,teater,246,140,muzeum,Location & Admin,teater:220,0
kurátorství sbírek,collection curatorship,teater,227,140,muzeum,Location & Admin,teater:220,0
kurátorství výstav,exhibition curatorship,teater,241,140,muzeum,Location & Admin,teater:220,0
mezinárodní smlouva,international treaty,teater,257,140,památková péče,Location & Admin,teater:253,0
mineralogická sbírka,mineral collection,teater,228,140,muzeum,Location & Admin,teater:220,0
muzejní dokumentace,museum documentation,teater,229,140,muzeum,Location & Admin,teater:220,0
muzejní sbírky,museum collection,teater,222,140,muzeum,Location & Admin,teater:220,0
muzejní spolek,museum association,teater,251,140,muzeum,Location & Admin,teater:220,0
muzejní společnost,museum society,teater,250,140,muzeum,Location & Admin,teater:220,0
muzejní výstava,museum exhibitions,teater,239,140,muzeum,Location & Admin,teater:220,0
městská památková rezervace,urban monument reserve,teater,262,140,památková péče,Location & Admin,teater:253,0
městské historické centrum,historical town centre,teater,261,140,památková péče,Location & Admin,teater:253,0
numismatická sbírka,numismatic collection,teater,230,140,muzeum,Location & Admin,teater:220,0
objekty (památková péče),objects (historic preservation),teater,255,140,památková péče,Location & Admin,teater:253,0
obnova a rekonstrukce památek,renewal and reconstruction of monuments,teater,271,140,památková péče,Location & Admin,teater:253,0
ochrana památek,protection of monuments,teater,272,140,památková péče,Location & Admin,teater:253,0
paleontologická sbírka,paleontological collection,teater,231,140,muzeum,Location & Admin,teater:220,0
památková péče,historic preservation,teater,253,140,památková péče,Location & Admin,teater:253,0
památkový objekt,listed monument,teater,264,140,památková péče,Location & Admin,teater:253,0
památkový ústav,heritage institute,teater,269,140,památková péče,Location & Admin,teater:253,0
památkově chráněné území,historically preserved area,teater,265,140,památková péče,Location & Admin,teater:253,0
památkář,preservationist,teater,267,140,památková péče,Location & Admin,teater:253,0
památkářka,woman preservationist,teater,268,140,památková péče,Location & Admin,teater:253,0
předmět (památková péče),object (historic preservation),teater,270,140,památková péče,Location & Admin,teater:253,0
přírodovědná sbírka,natural history collection,teater,232,140,muzeum,Location & Admin,teater:220,0
regionální muzeum,regional museum,teater,247,140,muzeum,Location & Admin,teater:220,0
rekonstrukce staveb,reconstruction of buildings,teater,273,140,památková péče,Location & Admin,teater:253,0
sbírkotvorná činnost,collection of specimens,teater,233,140,muzeum,Location & Admin,teater:220,0
sbírkový předmět,collection’s objects,teater,236,140,muzeum,Location & Admin,teater:220,0
skanzen,open-air museum,teater,248,140,muzeum,Location & Admin,teater:220,1
stavební právo,building law,teater,258,140,památková péče,Location & Admin,teater:253,0
stálá expozice,permanent exhibitions,teater,240,140,muzeum,Location & Admin,teater:220,0
uměleckoprůmyslové muzeum,museums of decorative arts,teater,249,140,muzeum,Location & Admin,teater:220,0
umělecká památka,artistic monument,teater,266,140,památková péče,Location & Admin,teater:253,0
umělecká sbírka,art collection,teater,237,140,muzeum,Location & Admin,teater:220,0
zoologická sbírka,zoological collection,teater,238,140,muzeum,Location & Admin,teater:220,0
činnosti muzeí,activities of museums,teater,221,140,muzeum,Location & Admin,teater:220,0
bavlna,cotton,teater,2434,2430,materiál objektu/předmětu,Material,teater:2430,0
borka,bark,teater,2435,2430,materiál objektu/předmětu,Material,teater:2430,0
bucchero,bucchero,teater,2465,2430,materiál objektu/předmětu,Material,teater:2430,0
chalcedon,chalcedony,teater,2447,2430,materiál objektu/předmětu,Material,teater:2430,0
chronologické členění (keramika),chronological classification (ceramics),teater,2458,2430,materiál objektu/předmětu,Material,teater:2430,0
cihelné zdivo,brick masonry,teater,2554,2430,způsob provedení (objekty),Material,teater:2430,0
cypřiš,Cupressus,teater,2444,2430,materiál objektu/předmětu,Material,teater:2430,0
diamant,diamond,teater,2439,2430,materiál objektu/předmětu,Material,teater:2430,0
drahý kámen,precious stone,teater,2437,2430,materiál objektu/předmětu,Material,teater:2430,0
dřevěná konstrukce,wooden structure,teater,2555,2430,způsob provedení (objekty),Material,teater:2430,0
dřevěné uhlí,charcoal,teater,2441,2430,materiál objektu/předmětu,Material,teater:2430,0
dřevěné výrobky,wood products,teater,2442,2430,materiál objektu/předmětu,Material,teater:2430,0
elektron,electrum,teater,2480,2430,materiál objektu/předmětu,Material,teater:2430,0
fajáns,faience,teater,2452,2430,materiál objektu/předmětu,Material,teater:2430,0
fosilní měkkýš,fossil mollusks,teater,2503,2430,materiál objektu/předmětu,Material,teater:2430,0
habánská fajáns,Haban faience,teater,2453,2430,materiál objektu/předmětu,Material,teater:2430,0
hedvábí,silk,teater,2446,2430,materiál objektu/předmětu,Material,teater:2430,0
historická keramika,historical pottery,teater,2459,2430,materiál objektu/předmětu,Material,teater:2430,0
hliněná destička,clay tablet,teater,2532,2430,materiál objektu/předmětu,Material,teater:2430,0
hrázděná stavba,half-timbered building,teater,2556,2430,způsob provedení (objekty),Material,teater:2430,0
jadeit,jadeite,teater,2440,2430,materiál objektu/předmětu,Material,teater:2430,0
jaspis,jasper,teater,2449,2430,materiál objektu/předmětu,Material,teater:2430,0
jíl,loam,teater,2455,2430,materiál objektu/předmětu,Material,teater:2430,0
kamenina,stoneware,teater,2456,2430,materiál objektu/předmětu,Material,teater:2430,0
keramický materiál,ceramic material,teater,2451,2430,materiál objektu/předmětu,Material,teater:2430,0
kožešina,fur,teater,2490,2430,materiál objektu/předmětu,Material,teater:2430,0
křemen,quartz,teater,2491,2430,materiál objektu/předmětu,Material,teater:2430,0
křemenec,quartzite,teater,2492,2430,materiál objektu/předmětu,Material,teater:2430,0
křišťál,quartz crystal,teater,2493,2430,materiál objektu/předmětu,Material,teater:2430,0
lastura,shell,teater,2496,2430,materiál objektu/předmětu,Material,teater:2430,0
len,linen,teater,2497,2430,materiál objektu/předmětu,Material,teater:2430,0
lidová keramika,folk pottery,teater,2460,2430,materiál objektu/předmětu,Material,teater:2430,0
majolika,maiolica,teater,2471,2430,materiál objektu/předmětu,Material,teater:2430,1
makrozbytky,macroremains,teater,2498,2430,materiál objektu/předmětu,Material,teater:2430,0
mamutovina,mammoth ivory,teater,2500,2430,materiál objektu/předmětu,Material,teater:2430,1
materiál objektu/předmětu,feature/object material,teater,2431,2430,materiál objektu/předmětu,Material,teater:2430,0
mořský měkkýš,sea mollusc,teater,2506,2430,materiál objektu/předmětu,Material,teater:2430,0
